2025-04-22 03:22:11,761 - INFO - Created a socket
2025-04-22 03:22:11,761 - INFO - Created a socket
2025-04-22 03:22:28,969 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-22 03:22:33,973 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-22 03:22:38,978 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-22 03:22:43,983 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-22 03:22:48,988 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-22 03:22:53,993 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-22 03:22:58,998 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-22 03:23:04,003 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-22 03:23:09,008 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-22 03:23:14,013 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-22 03:23:19,018 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-22 03:23:24,023 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-22 03:23:29,028 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-22 03:23:34,033 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-22 03:23:39,038 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-22 03:23:44,043 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-22 03:23:49,048 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-22 03:23:54,053 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-22 03:23:59,058 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-22 03:24:04,063 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-22 03:24:09,068 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-22 03:24:14,073 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-22 03:24:19,078 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-22 03:24:24,083 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-22 03:24:29,088 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-22 03:24:34,093 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-22 03:24:39,098 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-22 03:24:44,103 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-22 03:24:49,108 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-22 03:24:54,113 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-22 03:24:59,118 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-22 03:25:04,123 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-22 03:25:09,128 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-22 03:25:14,133 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-22 03:25:19,138 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-22 03:25:24,142 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-22 03:25:29,147 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-22 03:25:34,152 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-22 03:25:39,157 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
