2025-04-19 15:01:06,167 - INFO - Created a socket
2025-04-19 15:01:06,167 - INFO - Created a socket
2025-04-19 15:01:19,478 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-19 15:01:26,483 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-19 15:01:33,490 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-19 15:01:39,497 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-19 15:01:46,503 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-19 15:01:53,510 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-19 15:01:59,517 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-19 15:02:06,523 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-19 15:02:13,530 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-19 15:02:19,537 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-19 15:02:26,544 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-19 15:02:33,550 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-19 15:02:39,557 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-19 15:02:46,563 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-19 15:02:53,570 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-19 15:02:59,577 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-19 15:03:06,583 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-19 15:03:13,591 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-19 15:03:19,597 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-19 15:03:26,603 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-19 15:03:33,610 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-19 15:03:39,617 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-19 15:03:46,623 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-19 15:03:53,630 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-19 15:03:59,637 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-19 15:04:06,643 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-19 15:04:13,651 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-19 15:04:19,657 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-19 15:04:26,663 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-19 15:04:33,670 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-19 15:04:39,677 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-19 15:04:46,683 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-19 15:04:53,690 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-19 15:04:59,697 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-19 15:05:06,703 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-19 15:05:13,710 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-19 15:05:19,717 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-19 15:05:26,723 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-19 15:05:33,730 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-19 15:05:39,737 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-19 15:05:46,743 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-19 15:05:53,750 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-19 15:05:59,757 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-19 15:06:06,764 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-19 15:06:13,771 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-19 15:06:19,777 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-19 15:06:26,784 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-19 15:06:33,790 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-19 15:06:39,796 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-19 15:06:46,802 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-19 15:06:53,809 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-19 15:06:59,816 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-19 15:07:06,822 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-19 15:07:13,829 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-19 15:07:19,836 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-19 15:07:26,842 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-19 15:07:33,849 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-19 15:07:39,856 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-19 15:07:46,862 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
